Инструкция		Описание

ADD				Добавление локальных или удаленных файлов и каталогов.
ARG				Использовать переменные времени сборки.
CMD				Укажите команды по умолчанию.
COPY			Копирование файлов и каталогов.
ENTRYPOINT		Указать исполняемый файл по умолчанию.
ENV				Задать переменные окружения.
EXPOSE			Опишите, какие порты прослушивает ваше приложение.
FROM			Создать новый этап сборки из базового образа.
HEALTHCHECK 	Проверка состояния контейнера при запуске.
LABEL			Добавить метаданные к образу.
MAINTAINER		Указать автора образа.
ONBUILD			Указание инструкций, когда образ будет использоваться в сборке.
RUN				Выполнение команд сборки.
SHELL			Установить оболочку по умолчанию для образа.
STOPSIGNAL		Укажите сигнал системного вызова для выхода из контейнера.
USER			Задать идентификатор пользователя и группы.
VOLUME			Создание монтирования тома.
WORKDIR			Изменение рабочего каталога.
